Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),NCBI gene ID
ENSG00000184154,11,72080331,72110782,220074
ENSG00000150779,11,112084800,112086798,26521
ENSG00000204370,11,112086773,112120013,6392
ENSG00000110395,11,119206276,119313926,867
ENSG00000257057,11,94512432,94532123,643037
ENSG00000168092,11,117144267,117176894,5049
ENSG00000181333,11,94021361,94113751,341208
ENSG00000118137,11,116835751,116837950,335
ENSG00000172269,11,119096503,119108331,1798
ENSG00000181609,11,5488685,5489749,390066
ENSG00000175520,11,5507300,5509985,50613
ENSG00000167359,11,5440570,5441514,390063
ENSG00000168930,11,89797655,89808575,57093
ENSG00000170290,11,107707378,107719693,6588
ENSG00000166349,11,36510709,36593156,5896
ENSG00000175097,11,36575574,36598279,5897
ENSG00000254834,11,56576736,56577787,390167
ENSG00000255223,11,56542262,56543281,219487
ENSG00000110721,11,68052859,68121444,1119
ENSG00000283787,11,1888577,1891895,
ENSG00000130592,11,1852970,1892267,4046
ENSG00000132254,11,6474683,6481479,23647
ENSG00000054965,11,73400487,73598189,23201
ENSG00000166326,11,35662805,35818007,54765
ENSG00000110046,11,64894546,64917248,23130
ENSG00000233436,11,57743514,57751781,643376
ENSG00000235718,11,119338942,119346673,83552
ENSG00000235718,11,119338942,119346673,114902
ENSG00000150316,11,94962622,94973612,51503
ENSG00000172927,11,69294138,69367726,26579
ENSG00000196371,11,94543840,94549898,2526
ENSG00000011347,11,61515313,61581148,9066
ENSG00000137492,11,76349956,76380971,5612
ENSG00000204950,11,61508800,61511018,390205
ENSG00000110245,11,116829706,116833072,345
ENSG00000181616,11,5544489,5548533,390067
ENSG00000174684,11,66345372,66347692,11041
ENSG00000165915,11,47407132,47416501,91252
ENSG00000160695,11,119067692,119081978,55823
ENSG00000152402,11,106674012,107018524,2977
ENSG00000174744,11,66337333,66345125,25855
ENSG00000110375,11,118925164,118958559,7379
ENSG00000168062,11,64987943,64997045,116071
ENSG00000181371,11,56490349,56491395,219484
ENSG00000149256,11,78652831,79440948,26011
ENSG00000149091,11,46332905,46380554,8525
ENSG00000166682,11,113687550,113706373,80975
ENSG00000137496,11,71998541,72005715,10068
ENSG00000137731,11,117800844,117828698,486
ENSG00000177103,11,117427773,117817525,57453
ENSG00000204571,11,71579714,71603353,440051
ENSG00000186895,11,69810224,69819024,2248
ENSG00000137727,11,110577042,110713189,57569
ENSG00000187747,11,5580877,5581884,340980
ENSG00000070081,11,17208153,17349974,4925
ENSG00000196666,11,47586693,47589194,399888
ENSG00000132740,11,68903842,68940602,3508
ENSG00000172350,11,119149012,119162653,64137
ENSG00000149179,11,46936689,47164385,79096
ENSG00000148935,11,22625642,22813055,2620
ENSG00000134955,11,125063067,125090312,219855
ENSG00000172273,11,119121587,119136044,25988
ENSG00000132749,11,68707440,68751564,9633
ENSG00000042429,11,93784227,93814963,9440
ENSG00000205495,11,5046526,5047461,119679
ENSG00000284438,11,4338660,4339244,
ENSG00000284546,11,4329865,4330449,
ENSG00000174547,11,66435075,66466738,65003
ENSG00000204450,11,89968502,89975228,120146
ENSG00000137486,11,75264182,75351705,408
ENSG00000172977,11,65711996,65719604,10524
ENSG00000173156,11,67056818,67072013,29984
ENSG00000149295,11,113409615,113475691,1813
ENSG00000254997,11,71548418,71549553,3846
ENSG00000124920,11,61752642,61788518,745
ENSG00000254979,11,57387365,57424059,
ENSG00000149136,11,57325985,57335877,6749
ENSG00000255359,11,22846931,22860426,100500938
ENSG00000160584,11,116843402,117098437,23387
ENSG00000197345,11,68891276,68903835,219927
ENSG00000254647,11,2159779,2161341,3630
ENSG00000183251,11,5301014,5301946,79339
ENSG00000154134,11,124865386,124881470,64221
ENSG00000137710,11,110174880,110296722,5962
ENSG00000188486,11,119093854,119095467,3014
ENSG00000162148,11,61481120,61490931,220004
ENSG00000174576,11,66421004,66426707,266743
ENSG00000109854,11,20363685,20383783,10553
ENSG00000137494,11,83193739,83260694,338699
ENSG00000149308,11,108157215,108222642,4863
ENSG00000110693,11,15966449,16739591,55553
ENSG00000110696,11,16613132,16756881,10944
ENSG00000166736,11,113974881,113990313,3359
ENSG00000149311,11,108222484,108369102,472
ENSG00000110675,11,107591091,107666779,55531
ENSG00000131626,11,70270700,70384403,8500
ENSG00000174807,11,66314487,66317044,57124
ENSG00000213465,11,65014113,65022184,402
ENSG00000110719,11,68039016,68050895,10312
ENSG00000181693,11,56288462,56292254,219469
ENSG00000174957,11,56176618,56177556,282775
ENSG00000149735,11,64934471,64935888,170589
ENSG00000258817,11,49952391,49953419,283092
ENSG00000187240,11,103109431,103479863,79659
ENSG00000109971,11,123057489,123063230,3312
ENSG00000173898,11,66685248,66729226,6712
ENSG00000248643,11,66616626,66646469,100526737
ENSG00000239306,11,66616582,66627347,10432
ENSG00000184232,11,120210767,120230332,220323
ENSG00000149300,11,111918032,111926872,91894
ENSG00000110237,11,73308289,73369091,9828
ENSG00000179241,11,35943981,36232136,143458
ENSG00000179431,11,35618419,35620868,24147
ENSG00000177054,11,19117099,19176422,54503
ENSG00000176200,11,59503576,59504511,219986
ENSG00000254466,11,59473315,59479361,390197
ENSG00000133816,11,12094008,12263789,9645
ENSG00000110148,11,6259736,6272127,887
ENSG00000197786,11,58358124,58359069,219965
ENSG00000228607,11,113779747,113780500,644672
ENSG00000110200,11,72106378,72112780,25906
ENSG00000172890,11,71453109,71524107,55191
ENSG00000076706,11,119308529,119321521,4162
ENSG00000248712,11,119189638,119196769,283152
ENSG00000110243,11,116789367,116792420,116519
ENSG00000134569,11,46856868,46918642,4038
ENSG00000149532,11,61402641,61430031,79869
ENSG00000165917,11,47437757,47449178,5913
ENSG00000172757,11,65823022,65862026,1072
ENSG00000197428,11,4637477,4643060,390038
ENSG00000284018,11,4233288,4233872,
ENSG00000135372,11,34105602,34147670,55226
ENSG00000172922,11,65714896,65720947,84153
ENSG00000261594,11,75240905,75243697,100507050
ENSG00000176302,11,118971707,118981291,283150
ENSG00000165490,11,82899975,82958277,220042
ENSG00000172199,11,56375624,56376553,219417
ENSG00000172199,11,56375624,56376553,504190
ENSG00000182103,11,82729941,82733864,220382
ENSG00000174970,11,55965755,55969945,282770
ENSG00000173338,11,65592855,65595996,10089
ENSG00000118096,11,118544528,118572970,56912
ENSG00000137497,11,72002864,72080693,4926
ENSG00000154096,11,119417378,119424985,7070
ENSG00000254445,11,111912736,111926871,
ENSG00000255855,11,95049422,95051338,
ENSG00000166025,11,94706431,94876753,154810
ENSG00000284713,11,69155478,69159752,
ENSG00000162341,11,69048897,69162440,219931
ENSG00000172457,11,56741223,56748697,283189
ENSG00000062282,11,75759512,75801535,84649
ENSG00000150433,11,125096545,125111763,219854
ENSG00000183161,11,22622519,22626787,2188
ENSG00000172375,11,119102198,119118544,9854
ENSG00000158555,11,75434640,75525903,81544
ENSG00000154146,11,124739846,124747210,4900
ENSG00000154143,11,124611490,124620356,116337
ENSG00000182919,11,93741591,93764749,28970
ENSG00000196341,11,124302831,124315099,283159
ENSG00000255298,11,124256376,124266218,219865
ENSG00000197849,11,124241095,124254364,26494
ENSG00000176798,11,4994851,5005536,119682
ENSG00000011405,11,17077730,17207983,5286
ENSG00000254470,11,65775893,65780802,91056
ENSG00000167332,11,4680171,4697854,81285
ENSG00000179331,11,107928503,107963482,54734
ENSG00000174791,11,66330242,66336840,9610
ENSG00000188487,11,15112424,15247208,387755
ENSG00000174903,11,66268533,66277492,81876
ENSG00000174871,11,66278190,66285301,254263
ENSG00000168060,11,65044818,65058549,10004
ENSG00000174851,11,66284580,66289170,10897
ENSG00000152578,11,105609994,105982092,2893
ENSG00000135387,11,34051683,34101156,4076
ENSG00000177105,11,3826978,3840983,391
ENSG00000162129,11,72292425,72434680,81570
ENSG00000168061,11,65040901,65044828,29901
ENSG00000172464,11,56641466,56642471,338675
ENSG00000137509,11,82823502,82970584,5547
ENSG00000167323,11,3854527,4093210,6786
ENSG00000134571,11,47331397,47352702,4607
ENSG00000148948,11,40114203,41459773,57689
ENSG00000165923,11,47659591,47715389,79841
ENSG00000110435,11,34915829,35020591,8050
ENSG00000178358,11,6920974,6922043,120775
ENSG00000149054,11,6926404,7001004,7762
ENSG00000184933,11,6791736,6799689,8590
ENSG00000021762,11,3087116,3166739,114879
ENSG00000069696,11,637293,640706,1815
ENSG00000182450,11,64291302,64300031,50801
ENSG00000151348,11,44095549,44245429,2132
ENSG00000086827,11,113733187,113773811,9183
ENSG00000137522,11,71928701,71997597,55298
ENSG00000134809,11,57528463,57530803,26519
ENSG00000134824,11,61792980,61867354,9415
ENSG00000149554,11,125625136,125676255,1111
ENSG00000172500,11,65883741,65888539,9158
ENSG00000179071,11,85684866,85686277,220388
ENSG00000134817,11,57233577,57237314,187
ENSG00000020922,11,94415578,94493908,4361
ENSG00000198168,11,22813799,22830299,258010
ENSG00000137713,11,111726908,111766427,5519
ENSG00000149548,11,124954121,125041489,80071
ENSG00000213934,11,5248083,5249892,3047
ENSG00000173715,11,66744451,66843328,79703
ENSG00000235268,11,95025258,95027596,390245
ENSG00000180176,11,2163929,2171877,7054
ENSG00000181273,11,56988872,56989867,390181
ENSG00000110090,11,68754620,68844410,1374
ENSG00000123444,11,47572197,47579015,55709
ENSG00000171944,11,5128776,5138356,390054
ENSG00000182070,11,5143219,5154757,23538
ENSG00000188211,11,17351726,17377341,374383
ENSG00000154133,11,124883691,124898500,54538
ENSG00000213931,11,5268345,5505617,3046
ENSG00000172732,11,65857126,65867653,80198
ENSG00000280090,11,124423904,124424893,283162
ENSG00000110700,11,17074389,17077787,
ENSG00000254737,11,124012997,124018732,390264
ENSG00000181518,11,123902167,123909229,338662
ENSG00000167346,11,4704927,4992429,56547
ENSG00000129083,11,14443440,14500027,1315
ENSG00000180785,11,4643420,4655488,143503
ENSG00000226288,11,4581743,4593340,143502
ENSG00000110075,11,68460731,68615334,55291
ENSG00000181963,11,4449295,4450361,119774
ENSG00000223417,11,89911111,89921767,399939
ENSG00000233802,11,89924064,89933063,729384
ENSG00000137500,11,83259097,83286407,60492
ENSG00000214026,11,1947278,1984522,6150
ENSG00000214026,11,1947278,1984522,107987373
ENSG00000255009,11,90085950,90087131,642623
ENSG00000166266,11,108008733,108107776,8065
ENSG00000066336,11,47354860,47378576,6688
ENSG00000118363,11,74949247,74979031,9789
ENSG00000086991,11,89324356,89498187,50507
ENSG00000019144,11,118606440,118658038,23187
ENSG00000172489,11,56252200,56253222,390154
ENSG00000135362,11,36296288,36465204,79899
ENSG00000149516,11,60056587,60071128,932
ENSG00000166902,11,59806135,59810872,54948
ENSG00000197702,11,12377185,12530801,55742
ENSG00000173465,11,65570430,65573942,10534
ENSG00000173227,11,67006778,67050863,91683
ENSG00000170209,11,113387791,113400418,255239
ENSG00000254732,11,57742163,57793243,
ENSG00000182791,11,66590176,66593083,55231
ENSG00000156587,11,57551656,57568284,9246
ENSG00000150773,11,112064010,112074274,120379
ENSG00000225805,11,71878453,71884561,100129216
ENSG00000134910,11,125591712,125625215,3703
ENSG00000170145,11,111602391,111730853,23235
ENSG00000196565,11,5253190,5645789,3048
ENSG00000120458,11,124766498,124800673,79684
ENSG00000198674,11,123994163,123995161,
ENSG00000149428,11,119044189,119057202,10525
ENSG00000166689,11,16777317,17014443,144100
ENSG00000176922,11,4847489,4849238,119692
ENSG00000171987,11,4571423,4577820,143501
ENSG00000197790,11,4545191,4546144,119772
ENSG00000283873,11,4287499,4288083,
ENSG00000137760,11,107502726,107565746,91801
ENSG00000148925,11,13388001,13463297,84280
ENSG00000131620,11,70078302,70189528,55107
ENSG00000167822,11,56134721,56140201,81168
ENSG00000170962,11,103907186,104164379,80310
ENSG00000170967,11,104036580,104039188,414301
ENSG00000149294,11,112961247,113278436,4684
ENSG00000150787,11,112226365,112269955,5805
ENSG00000156603,11,57703714,57712323,219541
ENSG00000156599,11,57667747,57701187,25921
ENSG00000223953,11,119338939,119340940,114902
ENSG00000110092,11,69641087,69654474,595
ENSG00000172367,11,119185457,119190223,79849
ENSG00000183908,11,57181747,57191717,219527
ENSG00000171204,11,85628573,85636539,55863
ENSG00000123901,11,94377311,94401419,10888
ENSG00000204381,11,111540280,111561745,143903
ENSG00000214290,11,111298555,111308735,120376
ENSG00000166928,11,60378530,60417756,84689
ENSG00000175591,11,73218298,73236352,5029
ENSG00000085063,11,33698261,33736445,966
ENSG00000132744,11,67642555,67650659,91703
ENSG00000175564,11,74000281,74009435,7352
ENSG00000110080,11,126355640,126440344,6484
ENSG00000078902,11,1274371,1309654,54472
ENSG00000110074,11,126269055,126278131,55572
ENSG00000198730,11,10750987,10779743,9646
ENSG00000135365,11,45929323,46121178,51317
ENSG00000236027,11,125788111,125791600,100169851
ENSG00000173237,11,66975277,66977004,254439
ENSG00000149357,11,72085895,72103387,55004
ENSG00000174080,11,66563463,66568841,8722
ENSG00000214872,11,57542641,57550274,219537
ENSG00000184276,11,71833200,71837710,245911
ENSG00000184276,11,71833200,71837710,107987553
ENSG00000137507,11,76657524,76670747,2615
ENSG00000167257,11,117232625,117286445,257160
ENSG00000165912,11,47177525,47186443,29763
ENSG00000179240,11,76381313,76414619,100506127
ENSG00000129965,11,2131395,2161209,3481
ENSG00000129965,11,2131395,2161209,723961
ENSG00000180423,11,46602861,46617909,283254
ENSG00000110171,11,6448613,6474459,10612
ENSG00000110195,11,72189558,72196323,2348
ENSG00000110079,11,60280541,60308972,51338
ENSG00000110077,11,60172014,60184666,64231
ENSG00000167800,11,67631303,67639560,347853
ENSG00000174804,11,86945679,86955391,8322
ENSG00000150687,11,86791059,86952910,11098
ENSG00000149507,11,60040275,60048044,219990
ENSG00000134827,11,59852800,59866575,6947
ENSG00000154127,11,122655675,122814473,84959
ENSG00000149582,11,118531041,118547280,84866
ENSG00000084234,11,130069837,130144811,334
ENSG00000211450,11,57741250,57743554,
ENSG00000213593,11,57712600,57740973,51075
ENSG00000173992,11,66592821,66606019,9973
ENSG00000255245,11,117820163,117876667,100533181
ENSG00000150783,11,112167372,112172559,56158
ENSG00000197580,11,112175467,112224699,83875
ENSG00000137699,11,120111275,120185529,23650
ENSG00000036672,11,119355215,119381726,9099
ENSG00000134780,11,61680433,61747001,747
ENSG00000263465,11,95067197,95071224,10929
ENSG00000165495,11,125164687,125433389,63876
ENSG00000187398,11,24496970,25082631,338645
ENSG00000168876,11,94493629,94499583,54851
ENSG00000166391,11,75717819,75732958,80168
ENSG00000150750,11,111245805,111286401,341032
ENSG00000091664,11,22338097,22379503,57084
ENSG00000149257,11,75562056,75572783,871
ENSG00000187918,11,5449323,5456518,390064
ENSG00000166250,11,123069865,123195281,79827
ENSG00000110367,11,118747766,118791149,1656
ENSG00000180720,11,46385098,46386608,1132
ENSG00000172487,11,56354291,56361511,219477
ENSG00000186104,11,14877440,14892252,120227
ENSG00000166435,11,74807739,74949200,143570
ENSG00000133794,11,13276652,13387266,406
ENSG00000172154,11,56093277,56094286,120586
ENSG00000181785,11,56027654,56038191,219447
ENSG00000187612,11,55913650,55914582,390148
ENSG00000165457,11,72216601,72221950,2350
ENSG00000124900,11,55883297,55891810,84767
ENSG00000054938,11,74696429,74731385,25884
ENSG00000197136,11,65615773,65637439,399909
ENSG00000132286,11,6481447,6484679,26515
ENSG00000283977,11,6481485,6508978,
ENSG00000179532,11,6497260,6593758,144132
ENSG00000110429,11,33740939,33774543,26273
ENSG00000110400,11,119623408,119729084,5818
ENSG00000170276,11,111912242,111914093,3316
ENSG00000255561,11,111874056,111881243,91893
ENSG00000109991,11,57338374,57370600,5024
ENSG00000149115,11,57299638,57324952,85456
ENSG00000160703,11,119166568,119184016,79671
ENSG00000172935,11,69004395,69013409,116535
ENSG00000214376,11,93818232,93850531,387804
ENSG00000165478,11,124919193,124936412,220296
ENSG00000110244,11,116820700,116823306,337
ENSG00000149243,11,75422394,75430629,283212
ENSG00000197125,11,124437445,124445696,26493
ENSG00000110723,11,108505431,108593738,23086
ENSG00000204300,11,123882926,123885642,338661
ENSG00000176925,11,4821321,4822456,119694
ENSG00000189253,11,89869282,89876017,642446
ENSG00000262655,11,13962689,14267884,10418
ENSG00000175224,11,46617527,46674818,9776
ENSG00000182359,11,106051098,106077765,143879
ENSG00000170903,11,105995623,106022403,84437
ENSG00000137501,11,85694224,85811159,54843
ENSG00000149547,11,125569216,125584687,9538
ENSG00000198382,11,75815167,76143195,7405
ENSG00000172247,11,47589664,47594659,114900
ENSG00000171714,11,22193176,22283357,203859
ENSG00000121236,11,5596109,5612958,117854
ENSG00000184321,11,5402597,5403547,79470
ENSG00000109917,11,116773799,116788050,8882
ENSG00000149289,11,110093361,110171841,85463
ENSG00000284057,11,93741664,93812378,
ENSG00000151500,11,134248279,134253370,29087
ENSG00000187151,11,101890674,101916522,253935
ENSG00000149571,11,126423359,127003460,84623
ENSG00000151503,11,134150119,134225454,23310
ENSG00000172725,11,67435510,67443821,57175
ENSG00000215182,11,1157953,1201138,4586
ENSG00000171053,11,125746293,125749867,160065
ENSG00000030066,11,47778087,47848555,23279
ENSG00000182170,11,3217944,3218813,386746
ENSG00000184350,11,3227698,3232386,116534
ENSG00000166387,11,7513298,7657127,8495
ENSG00000173599,11,66848233,66958376,5091
ENSG00000149218,11,95089810,95132645,23052
ENSG00000109846,11,111908565,111923722,1410
ENSG00000134802,11,57406954,57427580,29015
ENSG00000133895,11,64803510,64811294,4221
ENSG00000168010,11,72814308,72843674,89849
ENSG00000176495,11,59358895,59371714,390195
ENSG00000126500,11,64103188,64119173,23769
ENSG00000043039,11,129375940,129452279,8538
ENSG00000149090,11,35431823,35530300,25891
ENSG00000178301,11,77589391,77610355,282679
ENSG00000151502,11,134224645,134247792,112936
ENSG00000087053,11,95832882,95925315,8898
ENSG00000133800,11,10556966,10611689,10894
ENSG00000173120,11,67119269,67258087,22992
ENSG00000188771,11,112248479,112260860,349633
ENSG00000248746,11,66546395,66563329,89
ENSG00000166793,11,57645087,57649944,219539
ENSG00000172409,11,57648992,57661868,10978
ENSG00000149131,11,57597387,57614853,710
ENSG00000158483,11,71787510,71801236,55199
ENSG00000214534,11,71814045,71821548,100131539
ENSG00000241233,11,71538025,71539207,57830
ENSG00000183734,11,2268495,2270952,430
ENSG00000158636,11,76444923,76553025,56946
ENSG00000109919,11,47617315,47642623,23788
ENSG00000085741,11,76186325,76210736,7481
ENSG00000174914,11,56699095,56703884,390174
ENSG00000110218,11,94128928,94181972,24145
ENSG00000149182,11,47164299,47177125,84364
ENSG00000171533,11,75586918,75669120,4135
ENSG00000175518,11,5514393,5516705,143630
ENSG00000184698,11,5383812,5393263,390059
ENSG00000137656,11,116748170,116772988,84811
ENSG00000176787,11,5058650,5059627,119678
ENSG00000196778,11,4482646,4493497,390036
ENSG00000109851,11,20156155,20160613,120237
ENSG00000130595,11,1919562,1938706,7140
ENSG00000110172,11,90201160,90223364,26973
ENSG00000152404,11,107326345,107457844,143884
ENSG00000162139,11,74988134,75018893,10825
ENSG00000181761,11,56122373,56123311,390152
ENSG00000110047,11,64851642,64888296,10938
ENSG00000132746,11,67662162,67681200,222
ENSG00000175115,11,66070363,66244747,55690
ENSG00000118058,11,118436490,118526832,4297
ENSG00000166012,11,93729948,93784391,79101
ENSG00000174669,11,66362521,66372214,3177
ENSG00000152270,11,14643723,14872044,5140
ENSG00000130598,11,1838989,1841680,7136
ENSG00000181767,11,56103687,56107658,390151
ENSG00000110717,11,68030617,68036644,4728
ENSG00000173327,11,65597755,65615382,4296
ENSG00000174996,11,66257294,66267860,64837
ENSG00000110203,11,72114869,72139892,2352
ENSG00000149564,11,124752583,124762290,90952
ENSG00000182985,11,115169218,115504957,23705
ENSG00000110013,11,124633113,124695707,54414
ENSG00000172638,11,65866441,65873592,30008
ENSG00000284609,11,124395534,124399024,390271
ENSG00000284680,11,124382394,124384462,26595
ENSG00000149273,11,75399486,75422280,6188
ENSG00000162105,11,70467856,71252577,22941
ENSG00000132109,11,4384897,4393696,6737
ENSG00000180425,11,114391443,114400511,54494
ENSG00000175220,11,46677080,46700615,392
ENSG00000166181,11,43311963,43344529,8539
ENSG00000085733,11,70398404,70436584,2017
ENSG00000110497,11,46396414,46594125,55626
ENSG00000149313,11,106075501,106098710,60496
ENSG00000168070,11,64937517,64972085,283129
ENSG00000196954,11,104942866,104969436,837
ENSG00000181939,11,55554307,55555419,81309
ENSG00000172188,11,55602360,55607645,219429
ENSG00000181927,11,55635113,55640309,81300
ENSG00000174982,11,55648327,55652854,219431
ENSG00000181903,11,55662201,55666195,219432
ENSG00000166575,11,87037844,87323758,65084
ENSG00000214787,11,60201253,60243088,643680
ENSG00000109943,11,122838500,122872639,56253
ENSG00000167792,11,67606852,67612535,4723
ENSG00000159063,11,78100936,78139660,79053
ENSG00000175229,11,66041952,66049180,89792
ENSG00000151364,11,78015715,78046191,65987
ENSG00000129749,11,3665587,3671384,57053
ENSG00000167797,11,67506497,67508649,10263
ENSG00000050165,11,11963106,12009769,27122
ENSG00000237388,11,48488717,48489780,403253
ENSG00000120471,11,128934731,128943399,63970
ENSG00000178105,11,108665025,108940930,1662
ENSG00000176895,11,4903783,4909462,119687
ENSG00000095110,11,114521715,114559895,120400
ENSG00000187049,11,61391687,61398863,51259
ENSG00000171067,11,68261335,68272001,53838
ENSG00000110660,11,107790991,107928293,54733
ENSG00000166352,11,36594493,36659290,119710
ENSG00000168959,11,88504576,89065945,2915
ENSG00000167825,11,55935456,55936400,10798
ENSG00000110442,11,36269284,36289449,29099
ENSG00000258588,11,5596725,5644398,445372
ENSG00000175216,11,46743048,46846308,9793
ENSG00000064199,11,124673798,124697518,53340
ENSG00000185742,11,109422120,109429114,399947
ENSG00000178202,11,108472105,108498432,143888
ENSG00000166261,11,123724177,123741675,7753
ENSG00000134640,11,92969720,92985066,4544
ENSG00000175213,11,46700818,46705912,79797
ENSG00000077616,11,90131515,90192894,10003
ENSG00000150261,11,56345945,56347031,390157
ENSG00000205409,11,5840928,5841952,390078
ENSG00000180988,11,5820314,5821348,390077
ENSG00000181023,11,5736448,5738522,387748
ENSG00000184999,11,63137867,63369718,387775
ENSG00000151116,11,18529609,18588747,55293
ENSG00000177697,11,832843,839831,977
ENSG00000185627,11,236546,252984,5719
ENSG00000149480,11,62593214,62601840,9219
ENSG00000167992,11,61258286,61295424,220001
ENSG00000180773,11,93144171,93197964,120103
ENSG00000076043,11,114439386,114450279,25996
ENSG00000174516,11,66466327,66477337,246330
ENSG00000077498,11,89177452,89295759,7299
ENSG00000166439,11,74748868,74842413,254225
ENSG00000110169,11,6431049,6442617,3263
ENSG00000166106,11,130448974,130476641,170689
ENSG00000187079,11,12674591,12944483,7003
ENSG00000019102,11,124747472,124752238,23584
ENSG00000197309,11,124183345,124188780,
ENSG00000284306,11,4242056,4242640,
ENSG00000052841,11,43358932,43494933,55761
ENSG00000167325,11,4094707,4138876,6240
ENSG00000166833,11,19350724,20121598,89797
ENSG00000150269,11,56462469,56463401,390162
ENSG00000135363,11,33858576,33892289,4005
ENSG00000054967,11,73376264,73397474,84957
ENSG00000150672,11,83455012,85627922,1740
ENSG00000167985,11,61430042,61447529,54949
ENSG00000172803,11,65833641,65856896,254122
ENSG00000221931,11,123753488,123754545,390260
ENSG00000180210,11,46719180,46739506,2147
ENSG00000256206,11,14493783,14520344,
ENSG00000165970,11,20599400,20659285,9152
ENSG00000167333,11,4598672,4608259,55128
ENSG00000186166,11,118998142,119015791,338657
ENSG00000171561,11,75081753,75096876,341152
ENSG00000197601,11,13668670,13732346,84188
ENSG00000255221,11,105092469,105101431,440068
ENSG00000175868,11,14904997,15082342,797
ENSG00000118094,11,118657316,118679690,11181
ENSG00000123892,11,88113242,88175467,23682
ENSG00000149305,11,113904677,113946565,9177
ENSG00000214414,11,89710299,89717872,390231
ENSG00000166337,11,6606296,6612667,6881
ENSG00000176973,11,65572349,65574198,23625
ENSG00000137745,11,102942995,102955734,4322
ENSG00000250644,11,1734821,1763954,
ENSG00000087365,11,66050729,66069308,10992
ENSG00000204361,11,114678386,114706933,120406
ENSG00000110002,11,124115362,124147721,4013
ENSG00000165325,11,93329971,93438487,159989
ENSG00000137634,11,114570591,114595762,54827
ENSG00000137491,11,75100563,75206549,11309
ENSG00000152266,11,13492055,13496181,5741
ENSG00000168040,11,70203163,70207390,8772
ENSG00000173039,11,65653596,65663094,5970
ENSG00000255501,11,105137721,105139726,59082
ENSG00000174937,11,56469274,56473352,219482
ENSG00000284732,11,56459221,56473352,
ENSG00000110680,11,14966668,14972354,796
ENSG00000165462,11,72239077,72245664,401
ENSG00000149133,11,55993681,55994625,338674
ENSG00000120451,11,130875436,130916509,399979
ENSG00000110427,11,33542072,33674102,25758
ENSG00000170255,11,18933813,18939507,259249
ENSG00000262406,11,102862736,102875034,4321
ENSG00000151365,11,78063861,78068351,7069
ENSG00000187726,11,73950319,73970366,374407
ENSG00000170322,11,129863636,129895590,4798
ENSG00000135378,11,32829943,32858123,79056
ENSG00000172365,11,58421264,58428121,390190
ENSG00000186513,11,58189070,58194053,219957
ENSG00000168066,11,64764606,64778786,7536
ENSG00000181264,11,120325129,120333682,219902
ENSG00000110697,11,67491768,67506263,9600
ENSG00000183389,11,5999445,6006946,120793
ENSG00000184478,11,5938751,5951347,390083
ENSG00000177830,11,867860,915058,66005
ENSG00000162298,11,65121780,65134533,84447
ENSG00000166323,11,108308519,108467531,160140
ENSG00000023171,11,123358428,123627774,57476
ENSG00000186642,11,72576141,72674591,5138
ENSG00000075239,11,108121516,108147776,38
ENSG00000179292,11,66291870,66296664,256472
ENSG00000110025,11,65027408,65040572,29907
ENSG00000273003,11,65014182,65040570,
ENSG00000255012,11,56609236,56614874,390168
ENSG00000213445,11,65638097,65650930,6494
ENSG00000149043,11,1828307,1837521,90019
ENSG00000205029,11,55838752,55839738,390144
ENSG00000175538,11,74454841,74467729,10008
ENSG00000205177,11,33698261,33700801,100131378
ENSG00000137513,11,78435961,78574874,79731
ENSG00000173442,11,65576038,65592650,254102
ENSG00000186119,11,55819607,55820597,219438
ENSG00000186113,11,55795556,55796500,219436
ENSG00000165434,11,74330318,74398473,283209
ENSG00000181958,11,55367884,55368918,81328
ENSG00000181961,11,55343151,55344231,81327
ENSG00000133808,11,12276080,12359144,84953
ENSG00000172425,11,118527472,118531197,143941
ENSG00000175294,11,66016752,66026517,117144
ENSG00000189057,11,59107185,59127410,374393
ENSG00000174370,11,128899565,128906035,219833
ENSG00000176567,11,48263861,48264778,390113
ENSG00000176900,11,4881819,4882883,401665
ENSG00000205497,11,4942831,4947605,401666
ENSG00000205496,11,4954772,4955713,401667
ENSG00000129084,11,14504874,14643635,5682
ENSG00000232268,11,4593614,4596574,390037
ENSG00000255663,11,114400682,114443932,
ENSG00000165323,11,92352096,92896470,120114
ENSG00000174483,11,66510606,66533627,582
ENSG00000048028,11,113797874,113875570,57646
ENSG00000166333,11,6603708,6610874,3611
ENSG00000186174,11,118893875,118925608,283149
ENSG00000110066,11,68154863,68213828,51111
ENSG00000068971,11,64917553,64934473,5526
ENSG00000205030,11,55827219,55828154,26338
ENSG00000175536,11,74491712,74493733,387787
ENSG00000129170,11,19182030,19210573,8048
ENSG00000160593,11,118193740,118225094,120425
ENSG00000149575,11,118161951,118176673,6327
ENSG00000137709,11,120236640,120319944,25833
ENSG00000175356,11,9020391,9138114,57758
ENSG00000133328,11,63552770,63563383,54979
ENSG00000165526,11,126202094,126211692,84881
ENSG00000149742,11,63369789,63410294,114571
ENSG00000176029,11,8920076,8933006,56673
ENSG00000205867,11,1597177,1598294,440021
ENSG00000084207,11,67583595,67586660,2950
ENSG00000148985,11,3797724,3826371,27315
ENSG00000175334,11,66002079,66004149,8815
ENSG00000152558,11,102396332,102470384,114908
ENSG00000137648,11,118077012,118121890,56649
ENSG00000110330,11,102347211,102378670,329
